aggravated_assault,arson,burglary,crime_index,crime_index_total,forcible_rape,larceny_theft,city_fbi,modified_crime_index,modified_crime_index_total,motor_vehicle_theft,murder_and_non_negligent_man_slaughter,murder_and_nonnegligent_manslaughter,population,property_crime,rape,robbery,violent_crime,year
217.4, ,819.4,,4035.7,40.8,2683.4,"Abilene, TX",,,189.9,0.8,,127413,3692.7,,84,343,2000
263.3,,1310.9,,5490.8,30.8,3398.9,"Albany, GA",, ,283.6,5.7,,123424,4993.4,,197.7,497.5,2000
190.1,,601.4,,3191.2,21,2140.6,"Albany, NY",,,140.1,2.5,,906739,2882.1,,95.5,309.1,2000
641.5,,1333.1,,7038.8,44.5,4012,"Albuquerque, NM",, ,748,7.7,,709724,6093.1,,251.9,945.7,2000
473.8,,1876.7,,6900.4,50.9,4083,"Alexandria, LA",, ,250,8.5,,129586,6209.8,,157.4,690.7,2000
168.7,,510.5,,3021.6,17.8,2020.9,"Allentown, PA",,,205.6,2.8,,633148,2737,,95.2,284.6,2000
145.9,,537.8,,2666.6,21.8,1758.7,"Altoona, PA",, ,130.9,1.5,,132942,2427.4,,70,239.2,2000
519.6,,1074.6,,6773.8,50.7,4593.7,"Amarillo, TX",, ,408.1,5.5,,217100,6076.5,,121.6,697.4,2000
372.9,,587.6,,4931.4,74.7,3372.6,"Anchorage, AK",, ,387.1,3.8,,260900,4347.3,,132.6,584.1,2000
166.4,,521.7,,3055.5,34.9,2053.7,"Ann Arbor, MI",, ,219.5,1.8,,558168,2794.9,,57.5,260.7,2000
444.2,,1441.6,,5610.4,52.4,3188.2,"Anniston, AL",, ,304.9,8.4,,118406,4934.7,,170.6,675.6,2000
79.2,,238.9,,2294.2,18.7,1872.7,"Appleton, WI",,,78.6,0.6,,353669,2190.2,,5.7,104.1,2000
227,,864.4,,3882.3,18.6,2372.5,"Asheville, NC",,,277.8,3.1,,226389,3514.7,,118.8,367.5,2000
190.4,,904.8,,5943.9,26.4,4382.4,"Athens, GA",,,313.1,4.7,,147546,5600.3,,122,343.6,2000
239.1,,806,,5574.3,31.5,4135.6,"Atlantic, NJ",,,200.9,5.2,,348869,5142.6,,155.9,431.7,2000
679,,1151.3,,6222,46.2,3978.1,"Auburn, AL",,,221.2,10.6,,103970,5350.6,,135.6,871.4,2000
235,,792.8,,4688.5,45.9,3219.1,"Austin, TX",,,293,3.4,,1192230,4304.9,,99.3,383.7,2000
361,,900,,3892.9,26.7,2097.7,"Bakersfield, CA",,,401.8,5.6,,656578,3399.4,,100.2,493.5,2000
660.7,,877,,5565.9,33.4,3080.1,"Baltimore, MD",,,544.7,12.2,,2551398,4501.8,,357.8,1064.1,2000
53.3,,534.8,,3805.8,24.5,3017.2,"Bangor, ME",,,141.3,-,,69368,3693.3,,34.6,112.4,2000
,,557.9,,,29.7,1659.3,"Barnstable, MA",,,119.6,1.3,,158081,2336.8,,24.7, ,2000
295.1,,1005.1,,4718.2,66.7,2814.9,"Beaumont, TX",,,363,4.9,,391417,4183,,168.6,535.2,2000
129.8,,929,,4672,49.3,3275.7,"Bellingham, WA",, ,240.6,3,,164147,4445.4,,44.5,226.6,2000
362.3,,871.3,,4456.9,71.5,2792.7,"Benton Harbor, MI",,,302.6,5.6,,160918,3966.6,,51,490.3,2000
142.3,,372.6,,2356.8,6.9,1421.6,"Bergen, NJ",,,303.8,2,,1386769,2098,,107.5,258.7,2000
141.9,,1253.5,,5996.3,54.3,4081.2,"Biloxi, MS",,,316.9,6.6,,362905,5651.6,,141.9,344.7,2000
116.6,,360.2,,2589.5,20.1,1980.4,"Binghamton, NY",,,69.1,0.4,,259043,2409.6,,42.9,179.9,2000
339.6,,977.1,,5142.7,42.7,3206.9,"Birmingham, AL",,,380,11.8,,917976,4564.1,,184.6,578.7,2000
49.4,,356.3,,2814,19.3,2245.2,"Bismarck, ND",,,134.2,-,,93177,2735.7,,9.7,78.3,2000
104.5,,586.8,,3607.8,35.1,2664,"Bloomington, IN",,,183.1,1.7,,119630,3433.9,,32.6,173.9,2000
244.3,,735.5,,4068.2,34.6,2827.5,"Boise, ID",,,202.1,0.9,,421612,3765.1,,23.2,303.1,2000
,,407.8,,,21.8,1639.9,"Boston, MA",,,426.4,2.1,,3573108,2474.1,,106.1,,2000
178.1, ,595.3,,2811.1,40.6,1778.1,"Brazoria, TX",,,183.4,2.1,,243744,2556.8,,33.6,254.4,2000
284.5,,893.4,,4141.3,73.5,2651.3,"Bremerton, WA",,,182.9,3.3,,242221,3727.6,,52.4,413.7,2000
333,,609.1,,3704.1,26.6,1886.1,"Bridgeport, CT",,,681.2,4.5,,448022,3176.4,,163.6,527.7,2000
441.9,,452.3,,3132.5,26.1,1600.8,"Brockton, MA",,,514.8,0.8,,260688,2567.8,,95.9,564.7,2000
353.3,,997.5,,6136.5,22.7,4448.6,"Brownsville, TX",,,227.1,5,,339950,5673.2,,82.4,463.3,2000
297.9,,1061.4,,5928.2,71.6,4187,"Bryan, TX",, ,242.8,5,,139621,5491.3,,62.3,436.9,2000
258.5,,664.9,,3697.2,24.2,2238.4,"Buffalo, NY",,,341.2,3.7,,1193158,3244.5,,166.4,452.7,2000
121.3,,663.7,,4433.1,26.6,3409.3,"Burlington, VT",,,177.8,0.6,,154137,4250.8,,33.7,182.3,2000
278.4,,713.6,,4221.5,53.8,2905.1,"Casper, WY",,,239.9,4.6,,65024,3858.6,,26.1,362.9,2000
146.4,,691.6,,3995.6,20.7,2872.9,"Cedar Rapids, IA",,,210.5,0.5,,188558,3775,,53,220.6,2000
254.2,,519.3,,3391.7,30.8,2336.4,"Charlottesville, VA",,,168.2,3.2,,155792,3023.9,,79.6,367.8,2000
543.1,,1165.7,,5969.7,38.2,3366.9,"Chattanooga, TN",,,664.7,5.1,,471030,5197.3,,186,772.3,2000
128.1,,332.5,,3532.9,53,2876.6,"Cheyenne, WY",,,105.9,3.7,,81207,3315,,33.2,218,2000
238.1,,879.2,,3615.6,38.6,1987.5,"Chico, CA",, ,398.5,4,,199499,3265.2,,69.7,350.4,2000
244.4,,735.4,,4193.6,52.2,2795.9,"Colorado Springs, CO",,,271.6,3.6,,530211,3802.8,,90.5,390.8,2000
228.2,,495.5,,3610.4,27.8,2635.9,"Columbia, MO",,,141.1,9,,133199,3272.5,,72.8,337.8,2000
524.1,,892.8,,5637.3,33.9,3507.3,"Columbia, SC",,,445.2,6.2,,533482,4845.3,,227.7,792,2000
272.3,,820.9,,4916.1,17.5,3207,"Columbus, GA",,,418.6,11.5,,286403,4446.5,,168.3,469.6,2000
412.5,,1108.3,,6121.9,55.1,4033.5,"Corpus Christi, TX",,,393.1,5,,402704,5534.8,,114.5,587,2000
175.8,,791,,4427.3,27.6,3240.8,"Corvallis, OR",,,162,-,,79642,4193.8,,30.1,233.5,2000
338.1,,643.2,,3310,30,2077.6,"Cumberland, MD",,,187.1,3,,99970,2907.9,,31,402.1,2000
377.1,,1081,,5645.9,34.4,3146.1,"Dallas, TX",,,746.6,8.5,,3412490,4973.7,,252.2,672.2,2000
60,,290.4,,1798.2,10.7,1266.1,"Danbury, CT",, ,139.1,1.7,,178345,1695.6,,30.3,102.6,2000
508.9,,1016.6,,4566.6,48.6,2489.3,"Daytona Beach, FL",,,364.3,4.2,,502077,3870.1,,134.8,696.5,2000
174.3,,923.8,,4788.2,45.7,2910.7,"Dayton, OH",, ,541.1,4.2,,967456,4375.6,,188.4,412.6,2000
209.8,,664.8,,4273.6,41.8,2638,"Denver, CO",,,614.3,3.8,,2081475,3917.1,,101,356.4,2000
121.4,,590.8,,4091.8,26.5,2999,"Des Moines, IA",,,280.1,3.8,,452291,3869.9,,70.3,222,2000
472,,734.7,,4686.5,42.5,2279.6,"Detroit, MI",,,918.7,10.6,,4510292,3932.9,,228.5,753.6,2000
260.6,,619.3,,3672.7,49.8,2480.2,"Dothan, AL",,,158.1,11,,136601,3257.7,,93.7,415.1,2000
525.3,,622.7,,,,2645.1,"Dover, DE",,,204.4,0.7,,135535,3472.2,,95.9,,2000
118.9,,421.3,,2555.4,37.8,1851.8,"Dubuque, IA",,,118.9,1.1,,89965,2392,,5.6,163.4,2000
131.9,,312.8,,2305.8,15,1686.3,"Dutchess County, NY",,,96.5,2.1,,279733,2095.6,,61.1,210.2,2000
100.3,,479.7,,3098,13.6,2336.4,"Eau Claire, WI",,,141.6,1.4,,147578,2957.8,,25.1,140.3,2000
240.6,,1033.4,,5440.8,37.5,3554.6,"Elkhart, IN",, ,434.7,2.8,,178724,5022.8,,137.1,418,2000
515.5,,382.5,,5192.2,31.9,3788,"El Paso, TX",,,365.8,3.6,,730191,4536.3,,104.9,655.9,2000
299,,1020.1,,4997.9,41,3408.8,"Enid, OK",,,182.8,-,,58525,4611.7,,46.1,386.2,2000
126.6,,440,,2659.9,35.3,1826.4,"Erie, PA",,,135,2.1,,283622,2401.4,,94.5,258.4,2000
192.1,,900.9,,5609.2,32.3,3929.6,"Eugene, OR",, ,466.6,2.2,,324895,5297.1,,85.6,312.1,2000
62.9,,316.3,,2710.1,38.1,2079.9,"Fargo, ND",,,195.6,1.2,,173276,2591.8,,16.2,118.3,2000
291.9,,1675.8,,6157.3,29.5,3591.9,"Fayetteville, NC",, ,337.1,10.4,,298425,5604.8,,220.8,552.6,2000
177.8,,466.4,,3046.4,30.8,2208.6,"Fayetteville, AR",, ,135.9,4.4,,298649,2811,,22.4,235.4,2000
441.2,,639.7,,3278.8,40.2,1816,"Fitchburg, MA",, ,272.1,0.7,,146637,2727.8,,68.9,551,2000
295.6,,683,,5448.3,44.4,4150.4,"Flagstaff, AZ",, ,214.7,1.6,,126205,5048.1,,58.6,400.1,2000
423.5,,1071.1,,5538.9,53.1,2965.1,"Flint, MI",,,846.1,10.7,,440593,4882.3,,169.3,656.6,2000
138.6,,506.8,,2848.6,14.4,2074.7,"Florence, AL",,,76.8,1.4,,139298,2658.3,,35.9,190.2,2000
722.4,,1308.6,,6696.1,37.9,4123.8,"Florence, SC",,,338.7,7,,129299,5771.1,,157.8,925,2000
163.2,,511.6,,3585.3,45,2691.1,"Fort Collins, CO",,,149.3,1.6,,251163,3352,,23.5,233.3,2000
390,,777.8,,4756.3,32.3,2808.2,"Fort Lauderdale, FL",, ,567.4,3.9,,1623985,4153.3,,176.9,603,2000
377.5,,1010.3,,5027.9,38.2,2724.5,"Fort Myers, FL",,,679.8,3.8,,423632,4414.7,,193.8,613.3,2000
459.6,,887,,4170.4,25.8,2424.5,"Fort Pierce, FL",, ,250.6,8.5,,317259,3562.1,,114.4,608.3,2000
243.5, ,549.3,,3084.2,45.6,1977.2,"Fort Walton Beach, FL",, ,190.7,2.8,,179852,2717.2,,75.1,367,2000
107.8,,579.6,,3695.8,26.8,2533,"Fort Wayne, IN",,,343.3,5,,495533,3455.9,,100.3,239.9,2000
292.1,,916.7,,5182.5,38.8,3310.5,"Fort Worth, TX",,,486.4,5.8,,1694349,4713.6,,132.1,468.9,2000
526,,944.9,,5877.7,35.1,3251,"Fresno, CA",,,920.5,5.3,,899114,5116.4,,194.9,761.3,2000
723.6,,1340.5,,7022,68.6,4228.2,"Gainesville, FL",,,455.4,4.3,,209926,6024,,201.5,998,2000
227.1,,430.6,,2380.3,19.7,1623.1,"Glens Falls, NY",,,67.8,-,,126792,2121.6,,11.8,258.7,2000
406.7,,1199.7,,4978.3,11.9,2878.4,"Goldsboro, NC",,,328.4,5.1,,117530,4406.5,,148,571.8,2000
91.5,,535.7,,3531.8,64.8,2530.3,"Grand Forks, ND",,,291,2.1,,97260,3357,,16.5,174.8,2000
154.8, ,588,,3909.7,24.6,2982.7,"Grand Junction, CO",,,138.4,4.9,,122106,3709.1,,16.4,200.6,2000
289,,689.5,,3902.2,48.4,2517.3,"Grand Rapids, MI",,,267.2,2.4,,1060056,3474,,88.5,428.3,2000
,,510,,,20,4646,"Great Falls, MT",,,198.7,2.5,,80004,5354.7,,45,,2000
265.6,,788.4,,4481.6,40.3,3071.2,"Greeley, CO",,,271.9,2.3,,176188,4131.4,,42,350.2,2000
108.6,,448.3,,2855.6,28.2,2108.3,"Green Bay, WI",,,127.1,0.9,,216379,2683.7,,34.2,171.9,2000
321.4,,1135.9,,5199.3,29.6,3171.8,"Greensboro, NC",,,336.6,5.9,,1241582,4644.2,,198.2,555.1,2000
478.8,,1558.3,,7018.4,29.5,4388.9,"Greenville, NC",,,409.2,11.3,,132196,6356.5,,142.2,661.9,2000
262.8,,511.9,,2750.7,16,1668.8,"Hagerstown, MD",,,234.6,4.6,,130876,2415.3,,52,335.4,2000
193.8,,816.1,,4513.1,43.4,3118.9,"Hamilton, OH",, ,251.2,3,,334380,4186.3,,86.7,326.9,2000
156.3,,577.3,,3750.1,17.9,2392.5,"Hartford, CT",,,454.8,2.8,,974139,3424.6,,148.5,325.5,2000
174.7,,967.9,,3742.2,17.8,2320.6,"Hickory, NC",,,193.4,4.4,,342793,3482,,63.3,260.2,2000
119.7,,786.1,,5280.4,27.2,3643.8,"Honolulu, HI",,,590.1,2.3,,883621,5019.9,,111.4,260.5,2000
432.9,,888.4,,4655.5,30.7,3007.5,"Houma, LA",, ,223.7,1.5,,198906,4119.5,,70.9,535.9,2000
432.9,,959.5,,5046.3,34.6,2724.1,"Houston, TX",,,645.3,7.7,,4172584,4329,,242.1,717.3,2000
334.5,,788.6,,4632.8,23.8,3093.9,"Huntsville, AL",,,282.9,2.6,,348233,4165.3,,106.5,467.5,2000
345.7,,502.5,,3253.9,32.1,2116.7,"Iowa City, IA",,,218.2,0.9,,105872,2837.4,,37.8,416.5,2000
330,,751.6,,4225.6,60,2728.1,"Jackson, MI",,,284,1.9,,158462,3763.7,,70,461.9,2000
826.4,,1205.9,,5719.1,47.4,2950.6,"Jackson, TN",,,507.6,5.7,,105401,4664.1,,175.5,1055,2000
672.1,,1103.5,,5942.4,48.3,3422.9,"Jacksonville, FL",,,479.8,8.9,,1117228,5006.2,,206.9,936.2,2000
186.8,,964.6,,4084.7,44.7,2579,"Jacksonville, NC",, ,230.2,3.3,,149902,3773.8,,76,310.9,2000
147.2,,528.9,,2661.2,25.8,1849.7,"Jamestown, NY",, ,81.6,2.1,,143321,2460.2,,25.8,200.9,2000
144.4,,568.7,,3768.6,30.4,2815.1,"Janesville, WI",, ,150.9,2.6,,154380,3534.8,,56.4,233.8,2000
372,,769.1,,4199.8,17.9,1918.2,"Jersey City, NJ",,,815.6,4.6,,571212,3502.9,,302.5,696.9,2000
160.8, ,378.9,,1701,13.8,1014.2,"Johnstown, PA",,,109,1.3,,239389,1502.2,,23,198.8,2000
169.6,,820.8,,4480.1,36.9,3074.4,"Jonesboro, AR",,,285.1,2.5,,81383,4180.2,,90.9,299.8,2000
172.7,,896.7,,4944.6,28.7,3512.3,"Joplin, MO",,,286.1,2.6,,153460,4695,,45.6,249.6,2000
433.2,,969.3,,5160.6,74.4,3236.7,"Kalamazoo, MI",,,329.8,5.3,,450549,4535.8,,111.9,624.8,2000
334.5,,496.4,,3172.5,22.1,2067.3,"Kenosha, WI",,,193.3,-,,149470,2757.1,,58.9,415.5,2000
264.7,,810.7,,3884.4,31.8,2521.3,"Killeen, TX",, ,176.5,5.2,,308256,3508.4,,74.3,376,2000
378.8,,717.6,,4016.8,32.7,2365.3,"Knoxville, TN",,,405.4,5.6,,673354,3488.4,,111.2,528.4,2000
225.9,,561.8,,3486.8,17.5,2466.4,"Kokomo, IN",,,160.7,4.9,,102701,3188.9,,49.7,298,2000
77,,216.5,,2876.8,18.4,2408.5,"La Crosse, WI",, ,131.5,1.6,,124724,2756.5,,23.3,120.3,2000
100.3, ,517,,3405.6,33.4,2581.6,"Lafayette, IN",,,137,-,,179500,3235.7,,36.2,169.9,2000
486.9,,921.4,,4681,41.3,2885,"Lafayette, LA",,,258.2,3.1,,385303,4064.6,,85.1,616.4,2000
426.8, ,1467.4,,5791.1,58.5,3399.6,"Lake Charles, LA",,,275.2,8.1,,184612,5142.1,,155.5,648.9,2000
408.5,,1427.5,,5851.6,60.4,3372.9,"Lakeland, FL",,,444.5,5.2,,483712,5244.9,,132.7,606.8,2000
118.1, ,379.3,,2605.1,19.3,1818.5,"Lancaster, PA",,,165.4,2.6,,465557,2363.2,,101.8,241.9,2000
301,,580.6,,3690.7,59.2,2480.2,"Lansing, MI",,,207.6,4.2,,454201,3268.4,,57.9,422.3,2000
375.7,,919.1,,6801.7,32.8,4971.5,"Laredo, TX",, ,406.5,5,,200964,6297.1,,91.1,504.6,2000
258.9, ,963.8,,4602.3,40.8,2265.1,"Las Vegas, NV",,,799.5,8.2,,1521236,4028.4,,266,573.9,2000
195.2, ,393,,2503.2,23.7,1177.7,"Lawrence, MA",,,658.5,1.1,,353987,2229.2,,54,274,2000
426.2,,1237.7,,5077.5,58.4,2990.1,"Lawton, OK",,,248.3,4.6,,109561,4476,,112.3,601.5,2000
89.2,,794.3,,3551.7,41.7,2450.9,"Lewiston, ME",,,132.9,-,,103107,3378,,42.7,173.6,2000
187,,838.7,,3913.7,56.6,2594.4,"Lima, OH",,,141.4,5.1,,155607,3574.4,,90.6,339.3,2000
399,,881.2,,6248.8,40.6,4640.1,"Lincoln, NE",,,225.3,1.2,,244110,5746.6,,61.4,502.2,2000
382.2,,1014.5,,6211.4,46.8,4163.3,"Little Rock, AR",,,462.4,8.9,,585808,5640.2,,133.3,571.2,2000
222.4, ,1036.3,,4631.7,47.6,2903.8,"Longview, TX",,,316.2,9.1,,220781,4256.3,,96.5,375.5,2000
606.8,,635.6,,3980.4,29,1726.4,"Los Angeles, CA",,,674,10.6,,9534500,3036,,298,944.4,2000
238.2,,368.5,,2250.2,24.2,1211.5,"Lowell, MA",, ,355.7,2,,305570,1935.7,,50.1,314.5,2000
917.2,,1244.1,,6782.5,64.3,4141.6,"Lubbock, TX",, ,303.2,5.5,,236476,5688.9,,106.6,1093.6,2000
139.5,,355.2,,2363.7,23.2,1628.7,"Lynchburg, VA",,,163.2,4.6,,215082,2147.1,,49.3,216.7,2000
274.8,,1235.4,,6036.5,36.1,3773.6,"Macon, GA",,,557.6,6.2,,338029,5566.7,,152.6,469.8,2000
109,,458,,3154,24.2,2287.2,"Madison, WI",,,198.1,1.2,,430092,2943.3,,76.3,210.7,2000
47,,419.8,,2715.2,33.7,1863.4,"Manchester, NH",,,267.1,1,,195823,2550.3,,83.2,164.9,2000
48.8,,798.9,,3718.8,33.7,2604.4,"Mansfield, OH",,,161.7,1.7,,178121,3565,,69.6,153.8,2000
404.3,,1313.7,,6030.6,15.1,3770.8,"McAllen, TX",, ,436.7,4.1,,556461,5521.1,,85.9,509.5,2000
184.1,,570,,4485.6,30.9,3462.5,"Medford, OR",, ,208.4,2.2,,181402,4240.9,,27.6,244.8,2000
540.5, ,1640.8,,6766.3,60.4,3215.7,"Memphis, TN",,,903.7,14.6,,1146007,5760.2,,390.7,1006.1,2000
522.1,,1057.3,,4383.7,28.3,2308.1,"Merced, CA",,,381.2,2.9,,205146,3746.6,,83.8,637.1,2000
754.2,,1315.3,,8063.3,47.6,4476.4,"Miami, FL",,,1064.1,8.6,,2301055,6855.8,,397.1,1207.4,2000
112.6,,370.4,,2261.1,11.2,1501.8,"Middlesex, NJ",, ,200.4,1.3,,1168208,2072.6,,63.4,188.5,2000
183.8,,596.1,,4539.3,26.9,2865,"Milwaukee, WI",, ,627.6,8.6,,1480190,4088.7,,231.4,450.7,2000
192.4,,558.3,,4111.6,46.2,2851.1,"Minneapolis, MN",, ,344.2,3.5,,2959367,3753.6,,115.9,358,2000
275.4,,1314.6,,5961.8,29,3643.5,"Mobile, AL",,,455.6,9,,544937,5413.8,,234.5,548,2000
538.6,,1003.9,,5340.9,33.2,3071,"Modesto, CA",,,574.2,3.6,,446364,4649.1,,116.5,691.8,2000
120.5,,387.4,,2293.5,10.5,1621.3,"Monmouth, NJ",,,98.6,1.6,,1145873,2107.3,,53.7,186.2,2000
718.4,,1222.6,,6887.5,49.4,4384.2,"Monroe, LA",,,383.5,10,,149924,5990.4,,119.4,897.1,2000
339.6,,1387.2,,6420,46.9,3919.8,"Montgomery, AL",,,499.7,12.2,,328585,5806.7,,214.6,613.2,2000
476.3,,998.3,,4546,52.1,2658,"Naples, FL",,,260.3,5.9,,218964,3916.6,,95,629.3,2000
709.7,,969.8,,6045,48.5,3534.5,"Nashville, TN",,,567.4,7.9,,1214116,5071.7,,207.2,973.3,2000
265.2,,584.9,,3693.6,18.5,1807.7,"Newark, NJ",, ,736.8,6,,2019704,3129.5,,274.4,564.1,2000
599.9,,747.1,,3217.2,32.5,1349.2,"New Bedford, MA",,,392.6,2.2,,181368,2488.9,,93.7,728.4,2000
193.4,,439.5,,2632.6,15.9,1793.2,"Newburgh, NY",,,113.6,1,,390869,2346.3,,76,286.3,2000
219.2,,551.8,,3972.4,20.7,2576.4,"New Haven, CT",, ,439.1,5.3,,531562,3567.2,,160.1,405.2,2000
194.6,,526.7,,2869.2,48.5,1874.8,"New London, CT",, ,158.6,1,,199914,2560.1,,65,309.1,2000
447.7,,944.7,,5817,33.1,3175.7,"New Orleans, LA",,,923.6,20.4,,1334426,5044,,271.7,772.9,2000
473.7,,453.2,,3538.5,19.3,1784.9,"New York, NY",,,428.1,7.8,,9111706,2666.2,,371.5,872.3,2000
349.3, ,673.5,,4350.6,33.3,2427.1,"Oakland, CA",, ,665.5,6.9,,2400206,3766.1,,195,584.5,2000
624.6,,1059.8,,4556.1,51.9,2490.4,"Ocala, FL",,,229.1,3.8,,260155,3779.3,,96.5,776.8,2000
321,,809.1,,4113.9,41.7,2717.1,"Odessa, TX",,,163.9,3.6,,251999,3690.1,,57.5,423.8,2000
345,,1077.5,,6351.3,55.5,4292.4,"Oklahoma City, OK",,,459.7,4.7,,1075023,5829.5,,116.6,521.8,2000
157.8,,913.6,,4043.7,55.6,2605.3,"Olympia, WA",,,260,1,,210376,3778.9,,50.4,264.8,2000
360.1,,680.6,,5319.2,38.3,3482,"Omaha, NE",,,610.7,6.7,,717211,4773.2,,140.8,546,2000
185.4,,430,,2633.7,17.7,1550,"Orange County, CA",, ,348.9,2,,2821467,2328.9,,99.8,304.8,2000
655.1,,1153.7,,6016.8,42.6,3406.4,"Orlando, FL",,,564,5.1,,1623494,5124.1,,189.9,892.7,2000
426.9,,944.5,,5103.3,67.7,3363.9,"Panama City, FL",, ,210.9,3.8,,156487,4519.2,,85.6,584.1,2000
350.2,,507.1,,3858.5,32.2,2199,"Philadelphia, PA",, ,492.3,8.1,,5079925,3198.4,,269.7,660.1,2000
354.1, ,1110.5,,6205.2,29.5,3524,"Phoenix, AZ",,,1010.3,7.2,,3235892,5644.8,,169.6,560.4,2000
1029,,2085.1,,8126.5,81.5,4151.3,"Pine Bluff, AR",,,446.5,16.5,,84649,6682.9,,316.6,1443.6,2000
200.9,,396.2,,2598.5,19.5,1627.5,"Pittsburgh, PA",,,244.4,3.4,,2398928,2268.1,,106.6,330.4,2000
210.2,,484.8,,2099.3,11.2,1245.1,"Pittsfield, MA",,,121.4,-,,97984,1851.3,,26.5,248,2000
239,,400.5,,3274.8,12.9,2473.9,"Pocatello, ID",,,127.9,2.6,,77409,3002.2,,18.1,272.6,2000
69.9,,524.6,,2986.5,39.5,2220.4,"Portland, ME",,,96.2,0.8,,250491,2841.2,,35.1,145.3,2000
293,,748.5,,5047.1,41.6,3350.7,"Portland, OR",, ,495.7,2.1,,1905235,4594.9,,115.4,452.2,2000
85.9,,377.4,,2409.7,51.5,1731.1,"Portsmouth, NH",, ,136.3,1.8,,275841,2244.8,,25.7,165,2000
174.3,,615.6,,3502.7,37.6,2113.4,"Providence, RI",, ,467.3,4.3,,1005499,3196.3,,90.2,306.4,2000
52.2,,482.9,,3403.2,26.9,2672.4,"Provo, UT",,,153.4,0.5,,363832,3308.7,,14.8,94.5,2000
554.8,,712.5,,4370.6,57.8,2763.2,"Pueblo, CO",,,192.7,4.1,,145266,3668.4,,85.4,702.2,2000
175.3,,521.1,,2275.5,7.6,1341,"Punta Gorda, FL",,,198.1,2.1,,144889,2060.2,,30.4,215.3,2000
159.1,,824.6,,4244.8,13.2,2717.3,"Racine, WI",,,377.3,3.2,,189783,3919.2,,150.2,325.6,2000
265.2,,1226.6,,5388.5,23.7,3313.4,"Raleigh, NC",, ,363,6.5,,1162356,4902.9,,190.2,485.7,2000
189.6,,622.8,,4803.5,104.7,3645,"Rapid City, SD",, ,194,1.1,,90726,4461.8,,46.3,341.7,2000
230.4,,602,,3387.6,22.6,2109.7,"Reading, PA",,,272.6,9.3,,366784,2984.3,,141,403.2,2000
375.3, ,641.7,,3176.6,68.4,1772.4,"Redding, CA",,,271.8,1.8,,168136,2685.9,,45.2,490.7,2000
211.2,,813.6,,4341.4,48.7,2811.8,"Reno, NV",,,319.3,3.4,,353226,3944.8,,133.3,396.6,2000
174, ,656.5,,3826.6,34.4,2694.6,"Richland, WA",,,219,2.6,,189045,3570,,45.5,256.6,2000
223.8,,658.5,,4554.6,28.8,2991,"Richmond, VA",,,457.8,11.1,,990177,4107.2,,183.7,447.4,2000
396.5,,875.8,,3848.8,28.4,1812.2,"Riverside, CA",,,586.4,6.9,,3252772,3274.3,,142.6,574.5,2000
152.4,,343.2,,2498.6,34.2,1759.2,"Rochester, MN",,,161.4,2.4,,122667,2263.9,,45.7,234.8,2000
94.9,,516.7,,3588.8,17.9,2538.4,"Rochester, NY",, ,305.9,4.8,,1123264,3361,,110.2,227.8,2000
315.2,,1395,,5357.5,19.3,3176.7,"Rocky Mount, NC",,,270.7,10.3,,155129,4842.4,,170.2,515.1,2000
319.3,,829.2,,,31.6,2381.5,"Sacramento, CA",, ,,5.1,,1620181,,,165,521,2000
383.6,,641.2,,3891.7,65.4,2469.9,"Saginaw, MI",, ,257.8,3.7,,403787,3368.9,,70.1,522.8,2000
163.4,,713.4,,5319.9,40.2,3914.8,"Salem, OR",,,416.1,2.6,,345793,5044.3,,69.4,275.6,2000
385.6,,588.6,,3419.3,40,1968.1,"Salinas, CA",, ,252.7,6.6,,379905,2809.4,,177.7,609.9,2000
204.6,,747.2,,5391.8,45.3,3917.6,"Salt Lake City, UT",, ,388.4,3.5,,1336937,5053.2,,85.3,338.6,2000
259.3,,857.9,,4885.3,85.5,3508.7,"San Angelo, TX",, ,133.4,0.9,,106422,4500,,39.5,385.3,2000
409.9,,893.1,,6397.3,38,4521.4,"San Antonio, TX",, ,410.8,6.4,,1628009,5825.3,,117.7,572,2000
329.6,,547.3,,3275,27.8,1659.9,"San Diego, CA",,,590.9,3.4,,2882676,2798.2,,116.1,476.8,2000
261.9,,537.2,,3926.4,24.5,2372.2,"San Francisco, CA",,,483.2,4.3,,1722596,3392.6,,243.1,533.8,2000
333.5,,353.7,,2628.6,28.9,1608.6,"San Jose, CA",,,240.2,2,,1683530,2202.5,,61.8,426.1,2000
229.2,,557.9,,2955.2,28.5,1943.4,"San Luis Obispo, CA",, ,166,1.2,,242147,2667.4,,28.9,287.8,2000
249,,456.9,,2541.5,29.3,1644.2,"Santa Barbara, CA",, ,112.1,2.5,,399643,2213.2,,47.5,328.3,2000
361.2,,587,,3468,40.7,2200.1,"Santa Cruz, CA",, ,207.5,3.2,,250576,2994.7,,68.2,473.3,2000
353.8,,1601.4,,4477,46.8,2183.5,"Santa Fe, NM",, ,215.3,3.9,,153742,4000.2,,72.2,476.8,2000
208.8,,595.8,,3005.2,37.1,1901.2,"Santa Rosa, CA",, ,206.6,2.4,,449614,2703.7,,53.2,301.6,2000
497.6,,942.1,,4717,30.6,2792.9,"Sarasota, FL",, ,318.3,3.8,,581788,4053.4,,131.7,663.6,2000
335.1,,984.6,,5834.3,36.3,3336.7,"Savannah, GA",, ,824,13.9,,303173,5145.2,,303.8,689,2000
