"GEO_ID","id"
"S1501_C02_039E","Percent!!Estimate!!American Indian or Alaska Native alone!!Bachelor's degree or higher"
"S1501_C02_039M","Percent!!Margin of Error!!American Indian or Alaska Native alone!!Bachelor's degree or higher"
"S1501_C02_040E","Percent!!Estimate!!Asian alone"
"S1501_C02_040M","Percent!!Margin of Error!!Asian alone"
"S1501_C02_041E","Percent!!Estimate!!Asian alone!!High school graduate or higher"
"S1501_C02_041M","Percent!!Margin of Error!!Asian alone!!High school graduate or higher"
"S1501_C02_042E","Percent!!Estimate!!Asian alone!!Bachelor's degree or higher"
"S1501_C02_042M","Percent!!Margin of Error!!Asian alone!!Bachelor's degree or higher"
"S1501_C02_043E","Percent!!Estimate!!Native Hawaiian and Other Pacific Islander alone"
"S1501_C02_043M","Percent!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone"
"S1501_C02_044E","Percent!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher"
"S1501_C02_044M","Percent!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher"
"S1501_C02_045E","Percent!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher"
"S1501_C02_045M","Percent!!Margin of Error!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher"
"S1501_C02_046E","Percent!!Estimate!!Some other race alone"
"S1501_C02_046M","Percent!!Margin of Error!!Some other race alone"
"S1501_C02_047E","Percent!!Estimate!!Some other race alone!!High school graduate or higher"
"S1501_C02_047M","Percent!!Margin of Error!!Some other race alone!!High school graduate or higher"
"S1501_C02_048E","Percent!!Estimate!!Some other race alone!!Bachelor's degree or higher"
"S1501_C02_048M","Percent!!Margin of Error!!Some other race alone!!Bachelor's degree or higher"
"S1501_C02_049E","Percent!!Estimate!!Two or more races"
"S1501_C02_049M","Percent!!Margin of Error!!Two or more races"
"S1501_C02_050E","Percent!!Estimate!!Two or more races!!High school graduate or higher"
"S1501_C02_050M","Percent!!Margin of Error!!Two or more races!!High school graduate or higher"
"S1501_C02_051E","Percent!!Estimate!!Two or more races!!Bachelor's degree or higher"
"S1501_C02_051M","Percent!!Margin of Error!!Two or more races!!Bachelor's degree or higher"
"S1501_C02_052E","Percent!!Estimate!!Hispanic or Latino Origin"
"S1501_C02_052M","Percent!!Margin of Error!!Hispanic or Latino Origin"
"S1501_C02_053E","Percent!!Estimate!!Hispanic or Latino Origin!!High school graduate or higher"
"S1501_C02_053M","Percent!!Margin of Error!!Hispanic or Latino Origin!!High school graduate or higher"
"S1501_C02_054E","Percent!!Estimate!!Hispanic or Latino Origin!!Bachelor's degree or higher"
"S1501_C02_054M","Percent!!Margin of Error!!Hispanic or Latino Origin!!Bachelor's degree or higher"
"S1501_C02_055E","Percent!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate"
"S1501_C02_055M","Percent!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate"
"S1501_C02_056E","Percent!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)"
"S1501_C02_056M","Percent!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)"
"S1501_C02_057E","Percent!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree"
"S1501_C02_057M","Percent!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree"
"S1501_C02_058E","Percent!!Estimate!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher"
"S1501_C02_058M","Percent!!Margin of Error!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher"
"S1501_C02_059E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings"
"S1501_C02_059M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings"
"S1501_C02_060E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate"
"S1501_C02_060M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate"
"S1501_C02_061E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)"
"S1501_C02_061M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)"
"S1501_C02_062E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree"
"S1501_C02_062M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree"
"S1501_C02_063E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree"
"S1501_C02_063M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree"
"S1501_C02_064E","Percent!!Estimate!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"S1501_C02_064M","Percent!!Margin of Error!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"S1501_C03_001E","Males!!Estimate!!Population 18 to 24 years"
"S1501_C03_001M","Males!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_002E","Males!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002M","Males!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
